,prm,res
76,"[3.009999999999999, 0.307, 4.836999999999999, 0.5919999999999991, -0.8, 3041.0, 2229.0, 1.129999999999999, 4.86, 0.663]",273798.4504374369
77,"[-0.673, 0.307, 1.288999999999999, 0.678, -0.8, 3776.0, 1624.0, 0.64, 5.099999999999999, 0.6069999999999991]",90672.08827701562
78,"[1.833, 0.307, -0.35599999999999904, 0.662, -0.8, 3423.0, 1703.0, 5.65, 7.599999999999999, 0.523]",137731.8347063417
79,"[-0.794, 0.307, 2.443, 0.043999999999999005, -0.8, 4967.0, 2860.0, 7.669999999999999, 2.149999999999999, 0.7119999999999991]",1041530.8915667131
80,"[0.774, 0.307, 3.697, 0.926, -0.8, 3067.0, 1758.0, 7.36, 4.21, 0.5719999999999991]",93716.64136503795
81,"[-0.02, 0.307, -0.913, 0.105, -0.8, 4438.0, 1177.0, 3.89, 0.46999999999999903, 0.531]",253098.36489908965
82,"[0.7399999999999991, 0.307, -0.13, -0.008999999999999, -0.8, 4510.0, 2290.0, 5.639999999999999, 3.189999999999999, 0.525]",126325.6438858996
83,"[0.275, 0.307, 2.798, 0.9789999999999991, -0.8, 4970.0, 2652.0, 5.03, 8.09, 0.5709999999999991]",160918.28242065271
84,"[-0.006, 0.307, 4.623, -0.36099999999999904, -0.8, 4002.0, 1248.0, 4.759999999999999, 0.8499999999999991, 0.684]",160601.34288964974
85,"[3.117, 0.307, 1.919999999999999, -0.42799999999999905, -0.8, 3610.0, 1355.0, 0.4, 0.14, 0.661]",513565.640529962
86,"[2.154999999999999, 0.307, 0.432, 0.54, -0.8, 4401.0, 1967.0, 4.599999999999999, 2.609999999999999, 0.682]",511151.50802230666
87,"[1.782, 0.307, 4.091, 0.7309999999999991, -0.8, 4422.0, 2649.0, 4.36, 5.37, 0.665]",1083525.556366877
88,"[0.231, 0.307, -0.29799999999999904, 0.33, -0.8, 3287.0, 1652.0, 5.46, 0.1, 0.7029999999999991]",185153.69524576285
89,"[-0.641, 0.307, 2.548999999999999, -0.397, -0.8, 3199.0, 2136.0, 0.13, 9.41, 0.542]",68694.22078853022
90,"[2.713, 0.307, 1.048, 0.188, -0.8, 4024.0, 2780.0, 1.08, 8.46, 0.676]",994773.6525074138
91,"[3.052, 0.307, 1.171, -0.44500000000000006, -0.8, 3529.0, 2442.0, 3.73, 9.86, 0.562]",61491.31307403535
92,"[4.697, 0.307, 1.325, -0.34999999999999903, -0.8, 3089.0, 2071.0, 8.7, 3.48, 0.7439999999999991]",1644391.3119967314
93,"[0.36599999999999905, 0.307, 4.282, 0.461, -0.8, 4696.0, 1861.0, 1.62, 2.14, 0.6119999999999991]",29321.036629690378
94,"[4.444, 0.307, 2.895999999999999, -0.36199999999999904, -0.8, 3816.0, 3149.0, 0.23999999999999902, 8.5, 0.524]",154972.65749985943
95,"[0.621, 0.307, 4.089999999999999, 0.202, -0.8, 4869.0, 2121.0, 7.46, 1.57, 0.671]",534721.8829912827
96,"[2.629999999999999, 0.307, 3.914, -0.275, -0.8, 3258.0, 3010.0, 8.96, 6.839999999999999, 0.687]",1767208.093415808
